Date	Q	M_Debit_x	"	P"	M_Debit_y
1923-05-19	1.180865603644647	0.01	0.0	0.78
1923-05-20	0.9157496985126624	0.36	40.95	0.27
1923-05-21	1.2503282862119791	0.63	23.85	0.39
1923-05-22	1.1148760552056813	0.94	0.0	0.37
1923-05-23	0.9794238241993836	0.38	0.0	0.95
1923-05-24	0.8520755728259413	0.32	0.0	0.48
1923-05-25	0.7270427442047435	0.5	0.0	0.79
1923-05-26	0.6691571753986333	0.03	0.0	0.54
1923-05-27	0.6112716065925231	0.25	0.0	0.38
1923-05-28	0.5533860377864129	0.57	0.0	0.18
1923-05-29	0.5256009647594801	0.38	0.0	0.59
1923-05-30	0.49897360310866945	0.25	0.0	0.96
1923-05-31	0.49897360310866945	0.17	0.0	0.68
1923-06-01	0.47234624145785875	0.99	0.0	0.6
1923-06-02	0.44687659118317036	0.83	15.35	0.77
1923-06-03	0.42140694090848185	0.01	4.7	0.75
1923-06-04	0.4515074366876592	0.69	0.0	0.13
1923-06-05	0.5788556880611014	0.65	4.55	0.54
1923-06-06	0.5209701192549914	0.94	0.0	0.83
1923-06-07	0.48623877797132525	0.95	0.0	0.78
1923-06-08	0.46308455044888114	0.86	0.0	0.42
1923-06-09	0.5557014605386574	0.46	43.6	0.8
1923-06-10	0.5325472330162133	0.96	0.0	0.33
1923-06-11	0.5788556880611014	0.74	0.0	0.06
1923-06-12	0.49781589173254726	0.62	0.0	0.27
1923-06-13	0.5093930054937693	0.61	0.0	0.16
1923-06-14	0.5209701192549914	0.15	0.0	0.68
1923-06-15	0.5441243467774354	0.42	0.0	0.09
1923-06-16	0.6020099155835456	0.86	7.45	0.07
1923-06-17	0.6691571753986333	0.77	21.6	0.32
1923-06-18	0.6691571753986333	0.36	0.0	0.5
1923-06-19	0.6980999598016884	0.24	19.7	0.36
1923-06-20	0.7884014471392202	0.05	24.2	0.13
1923-06-21	1.0430979498861048	0.41	0.0	0.78
1923-06-22	0.7884014471392202	0.44	2.0	0.48
1923-06-23	0.6402143909955782	0.97	0.0	0.02
1923-06-24	0.7270427442047435	0.34	12.75	1.0
1923-06-25	0.8520755728259413	0.64	47.0	0.39
1923-06-26	1.0430979498861048	0.47	0.0	0.06
1923-06-27	0.7884014471392202	0.68	0.0	0.38
1923-06-28	0.6112716065925231	0.99	0.0	0.61
1923-06-29	0.6402143909955782	0.3	0.0	0.08
1923-06-30	0.6112716065925231	0.45	7.15	0.36
1923-07-01	0.5533860377864129	0.69	3.85	0.66
1923-07-02	0.6691571753986333	0.46	3.85	0.35
1923-07-03	1.1102452097011926	1.0	0.0	0.1
1923-07-04	1.3313680825405334	0.95	16.55	0.54
1923-07-05	1.586064585287418	0.32	0.0	0.22
1923-07-06	1.4124078788690877	0.46	25.5	0.49
1923-07-07	1.180865603644647	0.39	0.0	0.93
1923-07-08	0.9157496985126624	0.72	6.4	0.96
1923-07-09	0.8520755728259413	0.17	0.0	0.63
1923-07-10	0.8520755728259413	0.58	0.0	0.84
1923-07-11	0.9157496985126624	0.0	0.0	0.92
1923-07-12	0.7270427442047435	0.61	0.0	0.6
1923-07-13	0.7270427442047435	0.63	0.0	0.95
1923-07-14	0.6980999598016884	0.55	0.0	0.54
1923-07-15	0.6980999598016884	0.28	15.3	0.41
1923-07-16	0.713150207691277	0.25	0.0	0.01
1923-07-17	0.7270427442047435	0.87	0.0	0.85
1923-07-18	0.6691571753986333	1.0	0.0	0.69
1923-07-19	0.6112716065925231	0.7	0.0	0.0
1923-07-20	0.582328822189468	0.88	0.0	0.48
